,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal
0,2.0,12.0,60.0,0.7471300062931364,7200.042367935181,1016.0,1068.8487919704776
1,2.0,12.0,70.0,0.726463619272779,7200.031887054443,845.0,991.1613664601133
2,3.0,12.0,30.0,0.7216213979567027,7200.041530609131,958.0,1295.4398284833312
3,3.0,12.0,40.0,0.703259617187397,7200.145776748657,2109.0,1224.8663816388912
4,3.0,12.0,50.0,0.7123641351634392,7200.076360702515,1159.0,1240.9721471768548
5,3.0,12.0,60.0,0.7182275611996795,7200.036497116089,807.0,1273.916532821031
6,3.0,12.0,70.0,0.7194853940443807,7200.190095901489,3087.0,1267.006108868811
7,4.0,12.0,30.0,0.6423511788020053,7200.133295059204,3700.0,919.2976481331401
8,4.0,12.0,40.0,0.6675048574274998,7200.029327392578,886.0,973.9963276303686
9,4.0,12.0,50.0,0.6748760556520222,7200.46561050415,1136.0,999.2354882650518
10,4.0,12.0,60.0,0.6276928897528555,7200.077123641968,2462.0,880.0939577350119
11,4.0,12.0,70.0,0.6525986914055364,7200.03226852417,854.0,931.8271689835603
12,0.0,13.0,30.0,0.6980872003296429,7200.054925918579,1412.0,1214.9319960481387
